,time+0(UTC),time_+8(cn/home),time_+9(jp),time_-5(ca),cn2cahome_Loss_Rate,cn2cahome_RTT_Min,cn2cahome_RTT_Max,cn2cahome_RTT_Avg,cn2cahome_RTT_stddev,cn2cahome_stddev/Avg,cn2cahome_Distance(est)(km),cn2cahome_Avg/Distance,cn2cahome_Number_of_Hops,cn2ca_Loss_Rate,cn2ca_RTT_Min,cn2ca_RTT_Max,cn2ca_RTT_Avg,cn2ca_RTT_stddev,cn2ca_stddev/Avg,cn2ca_Distance(est)(km),cn2ca_Avg/Distance,cn2ca_Number_of_Hops,cn2jp_Loss_Rate,cn2jp_RTT_Min,cn2jp_RTT_Max,cn2jp_RTT_Avg,cn2jp_RTT_stddev,cn2jp_stddev/Avg,cn2jp_Distance(est)(km),cn2jp_Avg/Distance,cn2jp_Number_of_Hops,ca2jp_Loss_Rate,ca2jp_RTT_Min,ca2jp_RTT_Max,ca2jp_RTT_Avg,ca2jp_RTT_stddev,ca2jp_stddev/Avg,ca2jp_Distance(est)(km),ca2jp_Avg/Distance,ca2jp_Number_of_Hops,ca2cahome_Loss_Rate,ca2cahome_RTT_Min,ca2cahome_RTT_Max,ca2cahome_RTT_Avg,ca2cahome_RTT_stddev,ca2cahome_stddev/Avg,ca2cahome_Distance(est)(km),ca2cahome_Avg/Distance,ca2cahome_Number_of_Hops,jp2cahome_Loss_Rate,jp2cahome_RTT_Min,jp2cahome_RTT_Max,jp2cahome_RTT_Avg,jp2cahome_RTT_stddev,jp2cahome_stddev/Avg,jp2cahome_Distance(est)(km),jp2cahome_Avg/Distance,jp2cahome_Number_of_Hops,home2ca_Loss_Rate,home2ca_RTT_Min,home2ca_RTT_Max,home2ca_RTT_Avg,home2ca_RTT_stddev,home2ca_stddev/Avg,home2ca_Distance(est)(km),home2ca_Avg/Distance,home2ca_Number_of_Hops,home2cn_Loss_Rate,home2cn_RTT_Min,home2cn_RTT_Max,home2cn_RTT_Avg,home2cn_RTT_stddev,home2cn_stddev/Avg,home2cn_Distance(est)(km),home2cn_Avg/Distance,home2cn_Number_of_Hops,home2jp_Loss_Rate,home2jp_RTT_Min,home2jp_RTT_Max,home2jp_RTT_Avg,home2jp_RTT_stddev,home2jp_stddev/Avg,home2jp_Distance(est)(km),home2jp_Avg/Distance,home2jp_Number_of_Hops,home2cahome_Loss_Rate,home2cahome_RTT_Min,home2cahome_RTT_Max,home2cahome_RTT_Avg,home2cahome_RTT_stddev,home2cahome_stddev/Avg,home2cahome_Distance(est)(km),home2cahome_Avg/Distance,home2cahome_Number_of_Hops
202010240640,202010232240,202010240640,,,0.0,186.859,188.373,187.336,0.399,0.002,9186,0.020,17,0.0,214.171,215.393,214.397,0.281,0.001,11559,0.019,25,0.0,35.461,40.214,36.248,1.157,0.032,1920,0.019,17,0.0,160.051,160.877,160.215,0.207,0.001,10346,0.015,8,0.0,56.748,92.899,60.153,7.884,0.131,3360,0.018,8,0.0,107.091,112.462,108.190,1.410,0.013,7548,0.014,10,0.100,,,,,nan,11644,nan,27,0.0,20.863,25.560,22.417,0.854,0.038,566,0.040,,0.100,,,,,nan,2432,nan,18,0.100,,,,,nan,9478,nan,16
202010240650,202010232250,202010240650,,,0.0,187.019,197.037,187.975,2.207,0.012,9186,0.020,17,0.0,214.304,217.006,215.245,0.689,0.003,11559,0.019,23,0.0,35.556,84.538,62.052,13.981,0.225,1920,0.032,17,0.0,159.994,161.192,160.212,0.247,0.002,10346,0.015,8,0.0,56.663,62.243,57.756,1.273,0.022,3360,0.017,8,0.0,107.243,113.469,108.232,1.355,0.013,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,20.676,26.547,22.316,1.062,0.048,566,0.039,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010240700,202010232300,202010240700,,,0.0,186.966,193.059,188.371,1.451,0.008,9186,0.021,17,0.0,214.184,228.700,218.759,4.481,0.020,11559,0.019,23,0.0,40.984,83.942,72.172,10.488,0.145,1920,0.038,17,0.0,159.839,161.119,160.007,0.284,0.002,10346,0.015,9,0.0,56.729,63.697,58.075,1.472,0.025,3360,0.017,8,0.0,107.116,112.355,108.331,1.330,0.012,7548,0.014,10,0.100,,,,,nan,11644,nan,26,0.0,21.632,22.757,22.181,0.314,0.014,566,0.039,,0.100,,,,,nan,2432,nan,18,0.100,,,,,nan,9478,nan,16
202010240710,202010232310,202010240710,,,0.0,187.665,195.347,191.504,1.879,0.010,9186,0.021,17,0.0,214.229,231.414,217.895,4.252,0.020,11559,0.019,25,0.0,52.037,88.623,75.083,11.521,0.153,1920,0.039,17,0.0,159.795,162.383,160.200,0.631,0.004,10346,0.015,8,0.0,56.841,64.282,60.141,2.301,0.038,3360,0.018,8,0.0,107.346,114.313,110.024,2.175,0.020,7548,0.015,9,0.100,,,,,nan,11644,nan,29,0.0,20.254,23.904,22.138,0.769,0.035,566,0.039,,0.100,,,,,nan,2432,nan,30,0.100,,,,,nan,9478,nan,16
202010240720,202010232320,202010240720,,,0.0,184.856,202.096,193.028,4.509,0.023,9186,0.021,17,0.0,214.289,219.836,215.750,1.590,0.007,11559,0.019,23,0.0,54.095,89.218,77.261,10.610,0.137,1920,0.040,17,0.0,159.729,163.103,160.158,0.739,0.005,10346,0.015,8,0.0,56.836,64.342,58.314,2.059,0.035,3360,0.017,9,0.0,107.409,118.424,108.698,2.321,0.021,7548,0.014,9,0.100,,,,,nan,11644,nan,27,0.0,21.576,23.312,22.168,0.412,0.019,566,0.039,,0.100,,,,,nan,2432,nan,18,0.100,,,,,nan,9478,nan,16
202010240730,202010232330,202010240730,,,0.10,190.702,202.113,196.534,2.918,0.015,9186,0.021,17,0.0,214.356,232.066,220.357,4.860,0.022,11559,0.019,22,0.0,63.207,89.337,85.919,5.322,0.062,1920,0.045,17,0.0,159.855,161.725,160.119,0.442,0.003,10346,0.015,8,0.0,56.845,69.993,61.592,3.189,0.052,3360,0.018,8,0.0,107.340,114.198,110.834,2.126,0.019,7548,0.015,9,0.100,,,,,nan,11644,nan,27,0.0,21.136,23.955,22.407,0.581,0.026,566,0.040,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,16
202010240740,202010232340,202010240740,,,0.0,186.017,199.179,192.404,3.462,0.018,9186,0.021,17,0.0,218.327,234.478,223.963,4.141,0.018,11559,0.019,23,0.5,48.381,89.384,85.252,8.753,0.103,1920,0.044,17,0.0,160.068,162.620,160.615,0.764,0.005,10346,0.016,8,0.0,56.703,61.368,58.075,1.268,0.022,3360,0.017,9,0.0,107.332,109.133,107.872,0.539,0.005,7548,0.014,9,0.100,,,,,nan,11644,nan,27,0.0,19.991,22.685,21.983,0.784,0.036,566,0.039,,0.100,,,,,nan,2432,nan,23,0.100,,,,,nan,9478,nan,16
202010240750,202010232350,202010240750,,,0.0,187.116,200.696,194.701,4.386,0.023,9186,0.021,17,0.0,214.395,227.654,220.302,3.542,0.016,11559,0.019,22,0.10,62.255,89.400,85.988,5.858,0.068,1920,0.045,17,0.0,160.033,162.382,160.257,0.492,0.003,10346,0.015,8,0.0,56.940,59.106,57.662,0.584,0.010,3360,0.017,8,0.0,107.266,114.433,108.298,1.649,0.015,7548,0.014,9,0.100,,,,,nan,11644,nan,25,0.0,20.562,25.647,22.336,0.892,0.040,566,0.039,,0.100,,,,,nan,2432,nan,30,0.100,,,,,nan,9478,nan,16
202010240800,202010240000,202010240800,,,0.0,184.665,199.692,191.334,5.543,0.029,9186,0.021,17,0.5,214.167,235.079,225.624,6.697,0.030,11559,0.020,25,0.20,86.079,89.371,87.432,1.257,0.014,1920,0.046,17,0.0,160.083,161.775,160.317,0.404,0.003,10346,0.015,8,0.0,56.726,84.256,59.710,5.843,0.098,3360,0.018,8,0.0,106.998,108.812,107.946,0.522,0.005,7548,0.014,10,0.100,,,,,nan,11644,nan,30,0.0,19.990,22.685,22.047,0.524,0.024,566,0.039,,0.100,,,,,nan,2432,nan,22,0.100,,,,,nan,9478,nan,17
202010240810,202010240010,202010240810,,,0.0,187.114,207.036,196.319,5.918,0.030,9186,0.021,17,0.0,214.408,235.403,226.383,6.121,0.027,11559,0.020,23,0.0,86.072,89.128,87.420,1.204,0.014,1920,0.046,17,0.0,160.019,163.256,160.373,0.720,0.004,10346,0.016,8,0.0,56.798,60.926,57.488,0.898,0.016,3360,0.017,8,0.0,107.149,113.009,108.675,1.868,0.017,7548,0.014,10,0.100,,,,,nan,11644,nan,25,0.0,20.241,22.756,22.150,0.557,0.025,566,0.039,,0.100,,,,,nan,2432,nan,23,0.100,,,,,nan,9478,nan,17
202010240820,202010240020,202010240820,,,0.0,184.411,199.848,192.447,5.435,0.028,9186,0.021,17,0.5,220.036,238.334,226.577,4.832,0.021,11559,0.020,22,0.35,86.130,89.228,87.558,1.256,0.014,1920,0.046,17,0.0,160.043,161.297,160.393,0.435,0.003,10346,0.016,8,0.0,56.941,64.728,58.692,2.076,0.035,3360,0.017,8,0.0,107.425,109.068,107.920,0.606,0.006,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,21.784,23.756,22.311,0.438,0.020,566,0.039,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010240830,202010240030,202010240830,,,0.0,184.682,199.541,192.878,6.126,0.032,9186,0.021,17,0.0,218.874,236.937,227.044,5.734,0.025,11559,0.020,25,0.20,86.169,89.485,88.661,1.006,0.011,1920,0.046,17,0.0,160.049,160.359,160.154,0.088,0.001,10346,0.015,8,0.0,56.661,65.630,58.591,2.468,0.042,3360,0.017,9,0.0,107.104,108.561,107.729,0.503,0.005,7548,0.014,10,0.100,,,,,nan,11644,nan,27,0.0,20.457,3604.733,201.267,780.808,3.879,566,0.356,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010240840,202010240040,202010240840,,,0.5,184.654,203.456,193.631,6.123,0.032,9186,0.021,17,0.0,217.319,235.038,227.643,6.086,0.027,11559,0.020,23,0.5,86.172,89.778,88.771,0.821,0.009,1920,0.046,17,0.0,160.034,161.292,160.257,0.345,0.002,10346,0.015,8,0.0,56.983,69.870,58.770,2.850,0.048,3360,0.017,8,0.0,107.620,113.165,109.098,1.577,0.014,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,20.151,23.761,22.242,0.691,0.031,566,0.039,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,16
202010240850,202010240050,202010240850,,,0.0,185.351,206.926,195.253,5.707,0.029,9186,0.021,17,0.5,219.590,234.812,227.202,5.980,0.026,11559,0.020,23,0.5,86.374,89.296,88.499,0.981,0.011,1920,0.046,17,0.0,160.015,166.897,160.527,1.480,0.009,10346,0.016,9,0.0,56.592,70.256,58.633,3.349,0.057,3360,0.017,8,0.0,107.280,112.526,108.157,1.314,0.012,7548,0.014,9,0.100,,,,,nan,11644,nan,25,0.0,20.929,23.065,22.101,0.420,0.019,566,0.039,,0.100,,,,,nan,2432,nan,20,0.100,,,,,nan,9478,nan,16
202010240900,202010240100,202010240900,,,0.0,187.306,206.440,195.973,5.860,0.030,9186,0.021,17,0.0,218.875,237.599,229.511,6.145,0.027,11559,0.020,24,0.15,66.976,89.423,87.366,5.242,0.060,1920,0.046,17,0.0,160.020,163.268,160.547,0.734,0.005,10346,0.016,8,0.0,56.704,59.705,57.657,0.793,0.014,3360,0.017,8,0.0,107.028,110.436,107.986,0.978,0.009,7548,0.014,9,0.100,,,,,nan,11644,nan,25,0.0,19.189,36.518,23.823,4.705,0.197,566,0.042,,0.100,,,,,nan,2432,nan,22,0.100,,,,,nan,9478,nan,16
202010240910,202010240110,202010240910,,,0.0,186.397,205.780,195.851,6.452,0.033,9186,0.021,17,0.5,217.507,235.915,229.241,6.055,0.026,11559,0.020,25,0.15,44.996,89.779,86.688,10.427,0.120,1920,0.045,17,0.0,160.053,161.701,160.401,0.461,0.003,10346,0.016,8,0.0,56.706,79.532,59.250,4.803,0.081,3360,0.018,8,0.0,107.340,112.295,108.190,1.131,0.010,7548,0.014,9,0.100,,,,,nan,11644,nan,29,0.0,19.178,44.545,24.572,6.034,0.246,566,0.043,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010240920,202010240120,202010240920,,,0.0,190.501,203.832,199.196,4.077,0.020,9186,0.022,17,0.5,229.562,236.237,234.175,1.531,0.007,11559,0.020,23,0.5,57.102,89.574,83.552,9.077,0.109,1920,0.044,17,0.0,159.996,161.411,160.425,0.484,0.003,10346,0.016,9,0.0,56.676,62.519,58.208,1.950,0.034,3360,0.017,8,0.0,107.160,135.525,109.350,6.039,0.055,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,20.759,33.417,23.919,3.485,0.146,566,0.042,,0.100,,,,,nan,2432,nan,20,0.100,,,,,nan,9478,nan,17
202010240930,202010240130,202010240930,,,0.0,198.463,205.361,200.685,2.045,0.010,9186,0.022,17,0.5,229.636,236.509,234.560,1.401,0.006,11559,0.020,22,0.20,73.848,89.665,86.358,4.443,0.051,1920,0.045,17,0.0,160.024,161.588,160.313,0.371,0.002,10346,0.015,8,0.0,56.906,60.996,58.059,1.049,0.018,3360,0.017,8,0.0,107.351,124.571,109.457,3.609,0.033,7548,0.015,10,0.100,,,,,nan,11644,nan,26,0.0,19.089,38.112,24.473,5.158,0.211,566,0.043,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010240940,202010240140,202010240940,,,0.0,196.923,224.378,200.684,5.631,0.028,9186,0.022,17,0.0,220.491,242.022,230.407,6.614,0.029,11559,0.020,25,0.15,84.461,89.676,88.629,1.596,0.018,1920,0.046,17,0.0,160.221,161.448,160.519,0.344,0.002,10346,0.016,8,0.0,57.003,61.830,58.122,1.287,0.022,3360,0.017,8,0.0,107.151,109.043,107.907,0.624,0.006,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.452,3604.961,203.419,780.385,3.836,566,0.359,,0.100,,,,,nan,2432,nan,28,0.100,,,,,nan,9478,nan,16
202010240950,202010240150,202010240950,,,0.15,198.287,203.797,199.107,1.213,0.006,9186,0.022,17,0.0,220.069,234.965,229.271,4.886,0.021,11559,0.020,24,0.5,92.547,141.753,136.986,10.556,0.077,1920,0.071,17,0.0,160.307,162.407,160.498,0.441,0.003,10346,0.016,8,0.0,56.672,71.827,59.776,4.062,0.068,3360,0.018,8,0.0,107.126,116.012,108.708,2.302,0.021,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.968,38.128,27.455,4.983,0.181,566,0.049,,0.100,,,,,nan,2432,nan,18,0.100,,,,,nan,9478,nan,16
202010241000,202010240200,202010241000,,,0.0,198.168,204.548,200.069,2.167,0.011,9186,0.022,17,0.10,228.533,237.200,234.468,1.667,0.007,11559,0.020,22,0.15,75.534,111.192,105.839,7.942,0.075,1920,0.055,17,0.0,160.269,163.116,160.697,0.826,0.005,10346,0.016,8,0.0,56.911,68.129,58.650,2.379,0.041,3360,0.017,8,0.0,107.273,120.478,109.086,3.133,0.029,7548,0.014,9,0.100,,,,,nan,11644,nan,27,0.0,19.600,35.650,24.119,4.366,0.181,566,0.043,,0.100,,,,,nan,2432,nan,22,0.100,,,,,nan,9478,nan,17
202010241010,202010240210,202010241010,,,0.15,198.479,201.713,199.531,0.928,0.005,9186,0.022,17,0.0,225.955,241.021,234.068,2.625,0.011,11559,0.020,23,0.20,69.209,93.918,88.745,5.185,0.058,1920,0.046,17,0.0,160.281,162.138,160.503,0.392,0.002,10346,0.016,8,0.0,56.438,62.393,58.165,1.394,0.024,3360,0.017,8,0.0,107.430,112.668,108.716,1.399,0.013,7548,0.014,9,0.100,,,,,nan,11644,nan,30,0.0,20.187,41.235,25.731,6.618,0.257,566,0.045,,0.100,,,,,nan,2432,nan,18,0.100,,,,,nan,9478,nan,17
202010241020,202010240220,202010241020,,,0.10,198.444,206.292,199.832,1.888,0.009,9186,0.022,17,0.20,233.174,236.197,234.712,0.709,0.003,11559,0.020,25,0.15,51.069,105.256,95.619,12.742,0.133,1920,0.050,17,0.0,160.270,162.025,160.566,0.478,0.003,10346,0.016,8,0.0,56.797,60.984,58.122,1.068,0.018,3360,0.017,8,0.0,107.455,114.648,108.430,1.543,0.014,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.605,44.507,24.620,5.829,0.237,566,0.043,,0.100,,,,,nan,2432,nan,20,0.100,,,,,nan,9478,nan,17
202010241030,202010240230,202010241030,,,0.5,198.235,203.301,199.344,1.240,0.006,9186,0.022,17,0.0,229.310,235.842,233.980,1.837,0.008,11559,0.020,22,0.10,55.085,91.715,80.902,8.210,0.101,1920,0.042,17,0.0,160.037,160.938,160.255,0.245,0.002,10346,0.015,8,0.0,56.689,64.354,59.012,1.932,0.033,3360,0.018,8,0.0,107.276,115.231,108.733,2.069,0.019,7548,0.014,9,0.100,,,,,nan,11644,nan,25,0.0,19.999,38.442,26.476,5.684,0.215,566,0.047,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010241040,202010240240,202010241040,,,0.5,198.318,200.382,199.153,0.536,0.003,9186,0.022,17,0.5,228.364,240.833,234.381,2.646,0.011,11559,0.020,22,0.20,38.731,59.452,42.830,5.810,0.136,1920,0.022,17,0.0,159.972,161.434,160.165,0.302,0.002,10346,0.015,8,0.0,56.678,65.581,58.380,2.027,0.035,3360,0.017,8,0.0,107.449,115.597,108.709,1.989,0.018,7548,0.014,9,0.100,,,,,nan,11644,nan,30,0.0,20.643,22.763,22.050,0.466,0.021,566,0.039,,0.100,,,,,nan,2432,nan,22,0.100,,,,,nan,9478,nan,17
202010241050,202010240250,202010241050,,,0.20,198.771,201.863,199.436,0.731,0.004,9186,0.022,17,0.15,234.123,235.993,234.784,0.456,0.002,11559,0.020,22,0.15,41.199,69.376,54.396,8.117,0.149,1920,0.028,17,0.0,159.814,168.350,160.539,1.834,0.011,10346,0.016,8,0.0,56.674,59.025,57.432,0.448,0.008,3360,0.017,8,0.0,107.287,109.935,107.985,0.790,0.007,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,20.147,26.805,22.278,1.172,0.053,566,0.039,,0.100,,,,,nan,2432,nan,20,0.100,,,,,nan,9478,nan,17
202010241100,202010240300,202010241100,,,0.5,198.829,202.605,199.562,1.014,0.005,9186,0.022,17,0.10,228.498,238.232,233.903,2.514,0.011,11559,0.020,22,0.30,39.126,87.960,51.896,12.058,0.232,1920,0.027,17,0.0,159.727,161.469,160.182,0.466,0.003,10346,0.015,8,0.0,56.953,66.093,58.734,2.454,0.042,3360,0.017,8,0.0,106.884,112.788,108.173,1.527,0.014,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.210,144.217,40.279,32.085,0.797,566,0.071,,0.100,,,,,nan,2432,nan,19,0.100,,,,,nan,9478,nan,17
202010241110,202010240310,202010241110,,,0.5,198.145,207.622,199.870,2.332,0.012,9186,0.022,17,0.5,228.283,232.403,229.054,1.201,0.005,11559,0.020,22,0.20,38.577,85.656,46.476,13.727,0.295,1920,0.024,17,0.0,159.771,165.954,160.472,1.427,0.009,10346,0.016,8,0.0,56.799,65.959,58.295,2.159,0.037,3360,0.017,8,0.0,107.286,113.105,108.398,1.502,0.014,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.933,22.716,22.105,0.621,0.028,566,0.039,,0.100,,,,,nan,2432,nan,20,0.100,,,,,nan,9478,nan,16
202010241120,202010240320,202010241120,,,0.10,198.564,206.795,200.359,2.287,0.011,9186,0.022,17,0.15,232.734,239.816,234.972,1.315,0.006,11559,0.020,22,0.40,38.730,45.976,40.368,1.987,0.049,1920,0.021,17,0.0,159.792,165.412,160.256,1.194,0.007,10346,0.015,8,0.0,56.567,62.249,58.337,1.622,0.028,3360,0.017,8,0.0,107.224,110.075,108.292,0.766,0.007,7548,0.014,9,0.100,,,,,nan,11644,nan,25,0.0,19.543,25.540,22.219,1.255,0.056,566,0.039,,0.100,,,,,nan,2432,nan,22,0.100,,,,,nan,9478,nan,16
202010241130,202010240330,202010241130,,,0.0,198.426,203.182,199.407,1.084,0.005,9186,0.022,17,0.5,234.664,237.279,235.215,0.706,0.003,11559,0.020,22,0.10,55.206,72.715,62.877,3.937,0.063,1920,0.033,17,0.0,159.825,163.676,160.517,1.100,0.007,10346,0.016,8,0.0,56.789,68.132,58.283,2.509,0.043,3360,0.017,8,0.0,107.284,112.257,108.434,1.169,0.011,7548,0.014,9,0.100,,,,,nan,11644,nan,26,0.0,19.113,22.809,22.032,0.822,0.037,566,0.039,,0.100,,,,,nan,2432,nan,30,0.100,,,,,nan,9478,nan,16
202010241140,202010240340,202010241140,,,0.15,198.507,203.836,200.381,1.885,0.009,9186,0.022,17,0.30,234.623,235.451,234.955,0.184,0.001,11559,0.020,22,0.15,105.376,141.171,125.000,9.615,0.077,1920,0.065,17,0.0,159.811,161.300,160.114,0.454,0.003,10346,0.015,8,0.0,56.854,61.135,58.127,1.235,0.021,3360,0.017,8,0.0,107.290,113.287,108.403,1.693,0.016,7548,0.014,9,0.100,,,,,nan,11644,nan,27,0.0,20.295,22.719,21.992,0.471,0.021,566,0.039,,0.25,291.383,299.389,295.907,2.438,0.008,2432,0.122,19,0.80,241.159,266.455,257.478,9.671,0.038,9478,0.027,16
202010241150,202010240350,202010241150,,,0.10,198.495,204.005,199.826,1.590,0.008,9186,0.022,17,0.10,234.342,237.707,235.018,0.810,0.003,11559,0.020,22,0.20,38.766,39.757,39.083,0.236,0.006,1920,0.020,17,0.0,159.849,161.639,160.263,0.543,0.003,10346,0.015,8,0.0,56.892,69.510,58.884,3.404,0.058,3360,0.018,8,0.0,107.304,112.200,108.309,1.042,0.010,7548,0.014,9,0.100,,,,,nan,11644,nan,30,0.0,21.796,22.815,22.147,0.273,0.012,566,0.039,,0.25,294.667,3880.472,540.400,892.695,1.652,2432,0.222,19,0.0,231.254,276.806,256.324,12.758,0.050,9478,0.027,16
202010241200,202010240400,202010241200,,,0.5,198.414,202.954,199.380,1.195,0.006,9186,0.022,17,0.10,234.534,236.867,235.226,0.583,0.002,11559,0.020,22,0.30,38.559,67.918,43.918,8.176,0.186,1920,0.023,17,0.0,159.825,164.488,160.629,1.169,0.007,10346,0.016,8,0.0,56.840,66.835,59.497,2.987,0.050,3360,0.018,8,0.0,107.428,113.136,109.612,1.789,0.016,7548,0.015,9,0.10,252.481,3867.977,460.407,826.467,1.795,11644,0.040,25,0.0,21.847,39.316,26.582,4.860,0.183,566,0.047,,0.10,254.542,300.913,274.534,14.131,0.051,2432,0.113,19,0.0,233.511,273.505,247.979,11.834,0.048,9478,0.026,17
202010241210,202010240410,202010241210,,,0.10,198.428,203.957,199.568,1.304,0.007,9186,0.022,17,0.5,234.734,236.508,235.054,0.479,0.002,11559,0.020,22,0.10,39.023,45.365,41.774,2.236,0.054,1920,0.022,17,0.0,159.999,161.234,160.290,0.328,0.002,10346,0.015,8,0.0,56.913,66.327,58.991,2.217,0.038,3360,0.018,9,0.0,107.270,112.039,108.359,0.977,0.009,7548,0.014,9,0.0,260.288,279.190,266.752,5.219,0.020,11644,0.023,25,0.0,23.173,37.549,26.051,3.226,0.124,566,0.046,,0.35,292.482,308.612,298.680,4.297,0.014,2432,0.123,20,0.0,228.124,3822.979,424.727,779.718,1.836,9478,0.045,16
202010241220,202010240420,202010241220,,,0.10,198.336,205.692,199.768,1.848,0.009,9186,0.022,17,0.0,234.367,235.867,234.932,0.317,0.001,11559,0.020,22,0.30,40.204,44.224,41.806,1.018,0.024,1920,0.022,17,0.0,160.019,162.887,160.479,0.693,0.004,10346,0.016,8,0.0,56.647,61.773,58.235,1.549,0.027,3360,0.017,8,0.0,107.311,115.753,108.797,2.148,0.020,7548,0.014,10,0.25,260.410,287.488,268.864,7.713,0.029,11644,0.023,25,0.0,22.032,37.551,26.337,4.322,0.164,566,0.047,,0.25,297.956,318.215,303.310,5.467,0.018,2432,0.125,19,0.0,241.195,343.686,268.065,24.725,0.092,9478,0.028,17
202010241230,202010240430,202010241230,,,0.10,198.539,201.277,199.298,0.679,0.003,9186,0.022,17,0.25,281.744,323.032,307.887,9.267,0.030,11559,0.027,22,0.30,84.989,90.661,87.875,1.954,0.022,1920,0.046,17,0.0,160.053,163.279,160.785,0.942,0.006,10346,0.016,9,0.0,56.886,61.763,58.358,1.584,0.027,3360,0.017,8,0.0,107.072,115.357,108.108,1.744,0.016,7548,0.014,9,0.15,261.277,270.247,264.575,2.363,0.009,11644,0.023,25,0.0,23.822,25.565,24.323,0.402,0.017,566,0.043,,0.35,296.045,306.883,300.606,3.338,0.011,2432,0.124,19,0.0,229.073,268.869,255.089,13.158,0.052,9478,0.027,17
202010241240,202010240440,202010241240,,,0.10,198.631,203.534,199.610,1.127,0.006,9186,0.022,17,0.15,229.759,235.925,233.255,1.580,0.007,11559,0.020,22,0.50,38.632,39.337,39.086,0.201,0.005,1920,0.020,17,0.0,160.282,162.395,160.539,0.486,0.003,10346,0.016,8,0.0,56.677,61.857,58.045,1.338,0.023,3360,0.017,8,0.0,107.284,119.427,108.742,2.724,0.025,7548,0.014,9,0.5,261.012,279.597,268.599,5.169,0.019,11644,0.023,25,0.0,22.743,30.280,24.456,1.441,0.059,566,0.043,,0.20,295.814,309.353,302.038,4.520,0.015,2432,0.124,22,0.0,235.226,3852.280,441.560,782.579,1.772,9478,0.047,17
202010241250,202010240450,202010241250,,,0.10,198.381,201.005,199.305,0.685,0.003,9186,0.022,17,0.10,233.820,236.852,234.872,0.708,0.003,11559,0.020,22,0.10,88.306,96.980,91.180,2.721,0.030,1920,0.047,17,0.0,159.834,167.798,161.125,2.070,0.013,10346,0.016,8,0.0,56.560,62.040,58.118,1.481,0.025,3360,0.017,8,0.0,107.452,113.325,108.738,1.915,0.018,7548,0.014,10,0.30,263.669,274.884,267.388,3.031,0.011,11644,0.023,26,0.0,21.229,31.404,24.843,1.808,0.073,566,0.044,,0.20,294.304,310.089,299.761,3.307,0.011,2432,0.123,20,0.0,232.561,284.473,268.057,11.719,0.044,9478,0.028,16
202010241300,202010240500,202010241300,,,0.10,198.367,202.717,199.597,1.051,0.005,9186,0.022,17,0.15,230.830,236.412,234.446,1.154,0.005,11559,0.020,22,0.15,82.997,101.608,91.125,6.296,0.069,1920,0.047,17,0.0,159.843,163.592,160.344,0.863,0.005,10346,0.015,9,0.0,56.668,69.434,58.822,3.176,0.054,3360,0.018,9,0.0,107.147,109.422,107.838,0.559,0.005,7548,0.014,9,0.30,260.674,273.595,265.250,3.563,0.013,11644,0.023,25,0.0,21.180,26.437,23.890,1.034,0.043,566,0.042,,0.10,293.501,304.559,297.170,3.395,0.011,2432,0.122,20,0.5,234.722,287.381,257.324,17.818,0.069,9478,0.027,16
202010241310,202010240510,202010241310,,,0.30,198.398,206.889,199.780,2.016,0.010,9186,0.022,17,0.25,233.657,236.289,234.822,0.558,0.002,11559,0.020,22,0.15,38.782,47.956,40.145,2.200,0.055,1920,0.021,17,0.0,160.307,168.039,161.808,2.436,0.015,10346,0.016,9,0.0,56.749,62.290,58.111,1.320,0.023,3360,0.017,8,0.0,107.325,110.613,108.406,0.871,0.008,7548,0.014,9,0.10,255.710,272.083,264.995,4.877,0.018,11644,0.023,25,0.0,23.101,26.130,24.662,0.548,0.022,566,0.044,,0.25,287.730,305.538,294.838,5.398,0.018,2432,0.121,20,0.0,230.841,241.705,235.913,3.674,0.016,9478,0.025,17
